"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"2010";"5,35";"0,65";"2,05";"6,00";"2,09";"0,40";"5,03";"2,19";"0,40";"23,74";"1,21";"2,33";"2,54";"3,43";"0,22";"64,72";"130,47";"25,42";"8,36";"10,79";"5,01";"6,59";"3,33";"3,56";"2,45";"9,72";"21,46";"26,88"
"2011";"119,99";"75,19";"83,28";"93,86";"61,60";"74,80";"118,40";"70,50";"108,34";"98,96";"90,37";"82,65";"108,14";"88,03";"102,92";"93,47";"106,04";"122,22";"106,89";"122,05";"120,45";"131,03";"117,08";"113,31";"107,06";"123,55";"108,78";"105,66"
"2012";"103,11";"83,11";"87,70";"84,65";"85,21";"86,79";"96,82";"89,16";"96,94";"96,34";"95,25";"86,87";"100,79";"92,87";"98,07";"92,41";"100,72";"100,98";"94,60";"98,72";"99,86";"104,25";"94,39";"100,53";"98,56";"101,40";"92,91";"96,18"
"2013";"98,45";"80,32";"86,36";"83,38";"89,92";"91,36";"97,86";"93,69";"94,14";"100,51";"92,49";"96,81";"99,11";"93,67";"96,55";"95,22";"105,89";"99,71";"98,16";"102,17";"105,47";"101,17";"103,74";"113,65";"99,55";"106,21";"111,56";"99,70"
"2014";"105,68";"67,74";"87,91";"86,14";"83,38";"81,94";"93,73";"88,30";"84,53";"99,66";"91,44";"92,23";"98,17";"93,75";"92,52";"91,26";"99,62";"101,42";"98,59";"97,36";"101,35";"103,38";"97,94";"130,44";"100,34";"97,74";"98,06";"96,36"
"2015";"104,02";"88,64";"94,91";"95,34";"76,55";"88,76";"98,73";"92,53";"87,43";"110,05";"95,23";"94,18";"102,53";"95,30";"92,95";"93,76";"103,38";"99,66";"104,08";"98,62";"102,77";"108,57";"95,57";"120,46";"102,94";"96,73";"70,05";"98,19"
"2016";"105,46";"78,69";"82,77";"97,78";"72,49";"96,36";"92,43";"76,51";"79,81";"115,99";"79,53";"89,19";"96,15";"89,65";"84,90";"77,67";"94,75";"94,01";"98,30";"90,42";"93,55";"101,36";"91,16";"101,41";"95,67";"87,68";"148,87";"91,68"
"2017";"94,94";"78,63";"81,17";"91,37";"71,83";"71,07";"90,01";"78,14";"81,35";"103,92";"71,45";"85,49";"85,66";"90,18";"83,31";"82,14";"89,34";"83,23";"91,32";"89,74";"92,01";"98,65";"88,04";"93,91";"87,17";"84,75";"84,26";"87,44"
"2018";"99,65";"75,96";"79,16";"82,15";"65,18";"68,30";"79,72";"78,18";"84,20";"115,10";"84,30";"94,91";"94,30";"100,65";"89,86";"78,30";"98,00";"89,55";"87,86";"88,89";"91,45";"93,13";"82,56";"94,83";"89,11";"87,63";"88,69";"88,49"
"2019";"92,63";"89,67";"89,23";"83,54";"77,41";"84,90";"93,52";"77,80";"85,44";"97,42";"85,25";"96,90";"88,71";"91,80";"86,80";"78,53";"91,46";"90,46";"76,81";"87,88";"92,93";"97,88";"90,81";"97,25";"90,31";"85,67";"85,69";"87,41"
"2020";"85,38";"66,67";"76,96";"79,30";"65,30";"49,80";"86,80";"63,79";"76,51";"91,99";"75,10";"76,81";"75,40";"76,30";"72,57";"73,88";"87,10";"84,42";"58,50";"82,83";"89,05";"91,25";"87,83";"86,07";"85,32";"82,00";"83,01";"79,23"
"2021";"76,60";"65,68";"71,54";"55,26";"60,87";"51,42";"82,30";"63,86";"72,87";"75,14";"73,59";"70,69";"69,11";"78,58";"74,15";"63,78";"76,31";"78,90";"56,55";"74,52";"82,51";"84,84";"78,02";"76,92";"77,66";"74,95";"76,00";"72,17"
"2022";"85,67";"73,99";"80,50";"62,71";"70,03";"56,61";"88,10";"73,69";"87,15";"85,98";"77,75";"72,49";"76,54";"86,51";"81,51";"76,53";"83,04";"79,40";"60,11";"78,20";"86,56";"90,09";"81,19";"89,04";"87,82";"80,13";"81,38";"78,63"
"Total";"66,33";"55,79";"61,37";"64,56";"51,21";"60,93";"61,59";"52,73";"58,40";"66,19";"59,30";"57,44";"58,54";"55,20";"61,65";"59,86";"75,20";"65,36";"64,58";"76,17";"70,15";"76,00";"65,20";"74,44";"67,25";"68,68";"60,18";"66,07"
